Category,#,PRODUCT,Size,PRICE ,Ingredients,How to use,DESCRIPTION 
FACE CARE ,1,Face Brightening Pack,100g,219,"Green gram, Raw rice, Oats, Flaxseeds, Almond, Red mysoor dal, chickpeas, Fenugreek, Wheat flour, Licorice, Manjista, 
Nutmeg, Avarampoo (Tanner's cassia), Hibiscus flower, Damask Rose, Potato, papaya, Beetroot.","- Cleanse your face thoroughly.
- Apply an even layer to the face and neck, avoiding the eye and lip area.
- Leave on for 10 to 15 minutes or until partially dry.
- Rinse off with lukewarm water and pat dry.
- Use 2 to 3 times a week for best results.","A gentle herbal face pack enriched with natural botanicals to refresh, brighten and revive dull-looking skin, leaving it soft, smooth and radiant."
,2,Kumkumadi serum,15ml & 20ml,249/349,"Purest grade of Sesame seed oil from organic farming, Dashmoola powder 
(10 Herbs powder blend), Saffron (Kumkuma/Kesar)
Sandalwood (Chandana), Manjista, Licorice (Yashtimadhu), Vetiver (Ushira), Indian Madder
Lotus (Kamal), 
Banyan Bark (Vata), Sacred Fig Bark (Ashwattha), Plaksha Bark
Lodhra, Turmeric (Haridra), Country Rose, Daruharidra
Blue Water Lily (Neelotpala)
Goat's Milk (used during traditional preparation)","• Cleanse and dry your face.
• Apply 2–3 drops to the face and neck.
• Gently massage or pat until fully absorbed.
• Leave overnight for best results (or) use 1hr before Face wash.","A luxurious Ayurvedic-inspired facial serum infused with traditional botanicals to nourish the skin, enhance its natural glow and support a more even-looking complexion."
,3,Aqua Rose Brightning Serum,30ml,269/349,"Aqua, Rose hydrosol, Natural Betaine, 
Glycerine, Xanthan gum, Propanediol, 
Licorice root extract, Red rice milk extract, Alpha arbutin, Niacinamide, Hyaluronic acid, 
Natural preservative.
(ECOCERT approved ingredients)","Gently apply a few drops to clean, damp skin both in the morning and at night, letting it absorb completely.
When To Use : AM & PM, daily.
For AM Routine: Follow with a Sunscreen. 
For PM routine: Following Face cream if required. ","A lightweight brightening serum that helps fade the appearance of dark spots and dullness 
while promoting a fresh, hydrated and even-looking complexion."
,4,Aloevera gel,100g,299,"Aloe Barbadensis (Aloe vera) juice, Xanthan gum, Guar Gum, Geogard ECT (Ecocert/Cosmos approved natural preservative)","1. Apply a small amount to clean skin or scalp.
2. Gently massage until fully absorbed.
3. Leave on—no need to rinse.
4. Use daily or as needed.

Suitable for: Face, Body & Scalp.

DIY: 
• Can be used as a lightweight moisturizer, after-sun soothing gel 
or to help calm irritated skin and hydrate the scalp.
• Add VEETREE Protein hair pack powder, few water and aloe vera gel and mix it into a paste to make a hair mask.
• Mix VEETREE Face pack powder with Aloe Vera Gel and apply it for super-nourished skin.
• Apply it before shaving the face to remove the hair without mess while hydrating the skin.","A soothing, lightweight gel that provides refreshing hydration and helps calm and soften the skin, making it ideal for everyday skincare."
,5,Saffron gel,100g,319,"Aqua (kashmiri Saffron infused), Rosehip oil, Xanthan gum, Guar Gum, Geogard ECT (Ecocert/Cosmos approved natural preservative)","Apply a small amount to clean face and neck.
Gently massage until fully absorbed.
Leave on—no need to rinse.
Use morning and night for best results.
Suitable for: All Skin Types.
Tip: Follow with sunscreen during the day for best results.","A refreshing gel enriched with the goodness of saffron to hydrate, revitalise and enhance the skin’s natural-looking radiance."
,6,Multi floral gel,30ml,288,"Aqua, Aloevera leaf, Floral Extracts, Panthenol, 
Glycerine, Pomegranate & Bakuchiol oil, Blue pea 
& Hibiscus extract, Vit E, Hyaluronic acid, 
Copper tripeptide, Xanthan gum, Ecocert preservative.","Cleanse your face thoroughly.
Apply a thin layer of Multi Floral Gel to the face and neck.
Gently massage until fully absorbed.
Use morning and night for best results.
Follow with a moisturizer if needed.
Apply sunscreen during the daytime.","A delicate floral-infused gel that refreshes and hydrates the skin while leaving it soft, supple and naturally radiant."
,7,Kumkumayadi night cream,30g,379,"Aqua, Rose hydrosol, Kumkumadi Thailam
:18+ Herbs blend, 
Kashmiri Saffron, E wax,Manjistha & Licorice root Extracts, 
24k Gold, Vit E, Rose Oil, ECO Preservative.","1. Cleanse your face and pat dry.
2. Apply a small amount of Kumkumayadi Night Cream to the face and neck.
3. Gently massage until fully absorbed.
4. Use every night as the last step of your skincare routine.

Special Tip:
• For dry skin - Apply 2–3 drops of Kumkumadi Serum before using the Kumkumayadi Night Cream for added nourishment. 
• For oily skin - use a lightweight water-based serum before the cream, if needed.","A nourishing night cream that works while you sleep to improve the appearance of dullness and hyperpigmentation, leaving the skin soft, moisturised and naturally radiant."
,8,Rose hydrosol,100ml,189,"100% Pure Form of Rose Hydrosol through steam distillation process , Rose Essential oil.","Step 1: Close your eyes and spray 2 to 4 pumps onto a clean face and neck.
Step 2: Let it absorb naturally or gently pat into the skin with clean hands. Follow with your serum or moisturizer.
Step 3: Use morning and night, or anytime during the day to refresh, hydrate, and soothe your skin. 
Pro Tip: Use before applying your serum, facial oil, or moisturizer to help lock in hydration.","A refreshing floral mist that instantly refreshes and hydrates the skin, leaving it soft, fresh and beautifully rejuvenated."
,9,Teatree Hydrosol,100ml,218,"100% Pure Form of Teatree Hydrosol through steam distillation process , Teatree Essential oil.","Step 1: Close your eyes and spray 2 to 4 pumps onto a clean face and neck (Acne Care), avoiding direct contact with the eyes. 
For scalp use, part your hair and spray directly onto a clean scalp (Dandruff Care).
Step 2: Let it absorb naturally after spraying. On the scalp, gently massage with your fingertips. 
Follow with VEETREE Aloevera gel (Acne care) facial use. 
Step 3: Use morning and night or anytime during the day to refresh, soothe and balance oily or acne-prone skin. 
For the scalp, use daily or as needed to help soothe an itchy scalp and reduce dandruff.","A refreshing botanical mist that helps keep the skin feeling clean, fresh and balanced while providing lightweight hydration."
HAIR CARE ,1,Hair Growth Oil,100ml & 200ml,179/329,"wood pressed coconut oil, Kalonji seed oil, sesame oil, Almond oil,
 Fenugreek, country Amla, Bhringraj, Hibiscus flowers & leaves, Rosemary, Clove, Vitamin E oil.","Step 1: Pour the desired amount of Hair Regrowth Oil into your palm and gently massage it into your hair and scalp.

Step 2: To boost blood circulation at the roots, flip your hair forward and massage. This technique is known as the inversion method.

Step 3: Leave the oil on for 1 hour or overnight before washing your hair. For best results, use the Hair Regrowth Oil twice a week / Before hair wash day.","A nourishing hair oil that supports healthy hair growth, strengthens the roots and helps reduce the appearance of hair fall, leaving hair thicker, stronger and healthier-looking."
,2,Scalp & Hair rebirth serum,50ml,397,"Virgin coconut oil, Argan Oil, Almond Oil, 
Jamaican Black Castor Oil, Cold-Pressed 
Moringa Seed Oil, Pumpkin Seed Oil, 
Kalonji Seed Oil, Onion Oil, Amla Oil, Bhringraj & Brahmi Oil Extracts, 
Vitamin E Oil, Tea Tree Oil & Peppermint Oil, Rosemary Oil.","Step 1: Apply a few drops of this scalp rebirth serum directly onto your scalp, focusing on areas of concern like the hairline or crown.
Step 2: Massage gently using circular motions for 5 to 10 minutes to stimulate blood circulation and help the oil penetrate deeply. 
Leave the oil on for at least 30 minutes to allow the active ingredients to work. For intensive treatment, leave it on overnight for maximum nourishment.
Step 3: Wash off thoroughly with a gentle shampoo. 
Use two to three times weekly for visible results.
 Consistency is key in seeing improvements in hair density and reduced shedding.","A targeted scalp and hair serum designed to revitalise the scalp, support healthier-looking hair growth and improve the overall strength and vitality of the hair."
,3,Protein Hair pack,100g,289,"Arappu leaves, Curry leaves, Hibiscus flowers & leaves, Henna, Moringa, 
karumbula, Neem, Bhringraj, Indigo, aloevera leaf, Raw rice, Fenugreek, kalonji, Flaxseed, sesame seeds, Rosemary, vetiver, Vasambu.","1. Mix the required amount of Protein Hair Pack Powder with warm water to form a smooth paste.
2. Apply evenly to the scalp and hair from roots to ends.
3. Leave on for 20–30 minutes.
4. Rinse thoroughly with water and follow with a mild shampoo if needed.
5. Use 1–2 times a week for best results.

Special Tip: For best results, avoid oiling your hair before applying the Protein Hair Pack. Apply the pack to a clean scalp and hair.","A nourishing hair treatment that helps strengthen weak, damaged hair, improve smoothness and reduce the appearance of breakage, leaving hair soft, manageable and healthier-looking."
,4,Seed Petal shampoo,100ml & 200ml,,"Aqua, Real- Flaxseed, Hibiscus, Rosemary leaves blend,
 Decyl glucoside, Coco glucoside, Cocamido-propyl betaine- Coconut Derived Surfactants, 
Panthenol, Hibiscus & rosemary Extract, Glycerine, Xanthan gum, Preservative ECT","Apply to wet hair

Massage for 1 - 2 minutes

Rinse Off

Repeat if needed

","A gentle cleansing shampoo that effectively cleanses the scalp and hair while helping maintain softness, freshness and healthy-looking hair."
,5,Jasmine Hair Butter,100g,357,"Aqua, Jasmine Hydrosol, Shea butter, 
Argan oil, Jamaican black castor oil, 
Flaxseed oil, vegetable glycerine, Panthenol, 
E wax, Natural stabilizer, Rice protein & Hibiscus extract, 
Vitamin E oil, Jasmine E oil, ECO-Certified Preservative.","Step 1: Take a coin-sized amount of our protein-free luscious hair butter on wet hands and rub between your palms to emulsify.
Step 2: Rake the hair butter through a section of your wet hair after washing, or lightly spray your hair with water or a hydrosol if it's dry before applying. 
This helps lock in moisture and revive dry, dehydrated curls. Remember to apply it 2 inches away from the scalp and work it all the way down to the ends.
Step 3: Scrunch your hair to squeeze out excess and enhance your natural texture. 
Make this your one-and-done butter for post hair wash or alternative days for defined and frizz-free results.","A rich yet nourishing hair butter that deeply conditions dry, rough hair, improves softness and manageability, and leaves hair smooth, silky and beautifully nourished."
,6,Anti Dandruff gel,100g,289,"Aloe vera gel, Teatree essential oil, Neem seed oil, Jojoba oil, Moringa seed oil.",Apply On scalp At night or evening and Leave overnight. You can also leave on scalp for few hours. Then Rinse with shampoo.,"A refreshing scalp gel that helps control visible dandruff, soothe an uncomfortable scalp and maintain a clean, fresh and balanced-feeling scalp."
,7,Rosemary Hydrosol,100ml,228,"100% Pure Form of Rosemary Hydrosol through steam distillation process , Rosemary Essential oil.","1. Spray directly onto the scalp and hair roots.
2. Gently massage for 1–2 minutes.
3. Use every morning and night on clean scalp and hair.
4. Do not rinse. Style as usual.","A refreshing scalp mist that helps revitalise the scalp, keep it feeling fresh and support a healthy-looking scalp and hair care routine."
BODY CARE ,1,Nalparamadi lotion,100ml,429,"Aqua, Shea butter, Wood pressed Sesame oil, Nalpamara Herbs - Vata, Udumbara, 
Ashwattha, Plaksha, Vetiver, Indian Gooseberry (Amla), Manjistha, Sandalwood,
Licorice, Rose, Cyperus rotundus, Hemidesmus indicus, Milk, E wax, vegetable Glycerine, Xanthan gum, 
Carrot seed oil, Vitamin E oil, ECO certified preservative.","1. Apply generously all over the body on clean, dry skin at night.
2. Gently massage until fully absorbed.
3. Leave overnight for best results.
4. Use daily to keep skin soft, nourished, and radiant.","A nourishing body lotion that helps improve the appearance of uneven skin tone, dullness and dryness, leaving the skin soft, smooth and naturally radiant."
,2,Ritual body oil,50ml,379,"Wood pressed sesame seed oil, jojoba Oil, 
Almond Oil, Moringa seed Oil, Papaya, Carrot, 
Beetroot Extracts, Manjista & Licorice infusion, 
Vitamin E Oil, original Saffron & Lavender Essential Oil.","1. Apply generously all over the body to dry skin 1 hour before bathing.
2. Gently massage in circular motions until evenly absorbed.
3. Rinse off during your bath or shower.
4. Use 2–3 times a week or as needed for soft, smooth, and nourished skin.","A luxurious body oil that deeply nourishes and moisturises the skin, leaving it soft, supple, smooth and beautifully glowing."
,3,Nalparamadi lepam,15g,276,"Wood pressed Sesame oil, Nalpamara Herbs - Vata, Udumbara, Ashwattha, Plaksha, 
Vetiver, Indian Gooseberry (Amla), Manjistha, Sandalwood,
Licorice, Rose, Cyperus rotundus, 
Hemidesmus indicus, Milk, Beeswax, Rosehip oil, Carrot seed oil, Vitamin E oil.","1. Apply an even layer all over the body on clean, dry skin.
2. Leave on for 15–20 minutes, then gently massage with a little water and rinse thoroughly.
3. For stubborn dark areas such as the neck, underarms, inner thighs, elbows, knees, or other dark body patches, you may leave it on overnight and rinse off the next morning.
4. Use 2–3 times a week for best results.","A traditional herbal body treatment that helps refresh dull-looking skin, improve the appearance of uneven tone and leave the skin feeling soft, smooth and rejuvenated."
,4,Paucholi shower gel,100ml & 200ml,,"Aqua, Lavender buds infused, 
Decyl glucoside, Coco glucoside, 
Cocamido-propyl betaine- Coconut Derived Surfactants, Panthenol, Glycerine,
 Xanthan gum, patchouli essential oil, Preservative ECO","Squeeze the required amount 
Lather & Gently Cleanse 
Rinse Off","A refreshing shower gel that gently cleanses away impurities while leaving the skin feeling fresh, soft, clean and beautifully refreshed."
,5,Body & face scrub,100g,358,"Aqua (Saffron infused), Grapeseed oil, Rosehip oil, E wax, xanthan gum, 
Licorice extract, Ubtan Blend - Green gram, 
mysoor dal, wheat flour, vetiver, rose, hibiscus flower, nutmeg, liquorice, Manjista, 
orange peel, kasturi manjal (Herbs blend), walnut shell granules, Saffron, Vitamin E oil, Eco certified preservative.","1. Mix the required amount of Protein Hair Pack Powder with water, aloe vera gel, or curd to form a smooth paste.
2. Apply evenly to the scalp and hair from roots to ends.
3. Leave on for 20–30 minutes.
4. Rinse thoroughly with water and follow with a mild shampoo if needed.
5. Use 1–2 times a week for best results.

Special Tip: For best results, avoid oiling your hair before applying the Protein Hair Pack. Apply the pack to a clean scalp and hair.","A gentle exfoliating scrub that helps remove dead skin cells and surface buildup, leaving the skin smoother, softer, brighter and refreshed."
,,,,,,,
